EntityStart;EntityEnd;ArtNetIP;UniverseStart;UniverseEnd;ChannelMode;DMXStartChannel
100;269;192.168.1.45;0;0;RGB;1
270;358;192.168.1.45;1;1;RGB;1
400;569;192.168.1.45;2;2;RGB;1
570;658;192.168.1.45;3;3;RGB;1
700;869;192.168.1.45;4;4;RGB;1
870;958;192.168.1.45;5;5;RGB;1
1000;1169;192.168.1.45;6;6;RGB;1
1170;1258;192.168.1.45;7;7;RGB;1
1300;1469;192.168.1.45;8;8;RGB;1
1470;1558;192.168.1.45;9;9;RGB;1
1600;1769;192.168.1.45;10;10;RGB;1
1770;1858;192.168.1.45;11;11;RGB;1
1900;2069;192.168.1.45;12;12;RGB;1
2070;2158;192.168.1.45;13;13;RGB;1
2200;2369;192.168.1.45;14;14;RGB;1
2370;2458;192.168.1.45;15;15;RGB;1
2500;2669;192.168.1.45;16;16;RGB;1
2670;2758;192.168.1.45;17;17;RGB;1
2800;2969;192.168.1.45;18;18;RGB;1
2970;3058;192.168.1.45;19;19;RGB;1
3100;3269;192.168.1.45;20;20;RGB;1
3270;3358;192.168.1.45;21;21;RGB;1
3400;3569;192.168.1.45;22;22;RGB;1
3570;3658;192.168.1.45;23;23;RGB;1
3700;3869;192.168.1.45;24;24;RGB;1
3870;3958;192.168.1.45;25;25;RGB;1
4000;4169;192.168.1.45;26;26;RGB;1
4170;4258;192.168.1.45;27;27;RGB;1
4300;4469;192.168.1.45;28;28;RGB;1
4470;4558;192.168.1.45;29;29;RGB;1
4600;4769;192.168.1.45;30;30;RGB;1
4770;4858;192.168.1.45;31;31;RGB;1
5100;5269;192.168.1.46;32;32;RGB;1
5270;5358;192.168.1.46;33;33;RGB;1
5400;5569;192.168.1.46;34;34;RGB;1
5570;5658;192.168.1.46;35;35;RGB;1
5700;5869;192.168.1.46;36;36;RGB;1
5870;5958;192.168.1.46;37;37;RGB;1
6000;6169;192.168.1.46;38;38;RGB;1
6170;6258;192.168.1.46;39;39;RGB;1
6300;6469;192.168.1.46;40;40;RGB;1
6470;6558;192.168.1.46;41;41;RGB;1
6600;6769;192.168.1.46;42;42;RGB;1
6770;6858;192.168.1.46;43;43;RGB;1
6900;7069;192.168.1.46;44;44;RGB;1
7070;7158;192.168.1.46;45;45;RGB;1
7200;7369;192.168.1.46;46;46;RGB;1
7370;7458;192.168.1.46;47;47;RGB;1
7500;7669;192.168.1.46;48;48;RGB;1
7670;7758;192.168.1.46;49;49;RGB;1
7800;7969;192.168.1.46;50;50;RGB;1
7970;8058;192.168.1.46;51;51;RGB;1
8100;8269;192.168.1.46;52;52;RGB;1
8270;8358;192.168.1.46;53;53;RGB;1
8400;8569;192.168.1.46;54;54;RGB;1
8570;8658;192.168.1.46;55;55;RGB;1
8700;8869;192.168.1.46;56;56;RGB;1
8870;8958;192.168.1.46;57;57;RGB;1
9000;9169;192.168.1.46;58;58;RGB;1
9170;9258;192.168.1.46;59;59;RGB;1
9300;9469;192.168.1.46;60;60;RGB;1
9470;9558;192.168.1.46;61;61;RGB;1
9600;9769;192.168.1.46;62;62;RGB;1
9770;9858;192.168.1.46;63;63;RGB;1
10100;10269;192.168.1.47;64;64;RGB;1
10270;10358;192.168.1.47;65;65;RGB;1
10400;10569;192.168.1.47;66;66;RGB;1
10570;10658;192.168.1.47;67;67;RGB;1
10700;10869;192.168.1.47;68;68;RGB;1
10870;10958;192.168.1.47;69;69;RGB;1
11000;11169;192.168.1.47;70;70;RGB;1
11170;11258;192.168.1.47;71;71;RGB;1
11300;11469;192.168.1.47;72;72;RGB;1
11470;11558;192.168.1.47;73;73;RGB;1
11600;11769;192.168.1.47;74;74;RGB;1
11770;11858;192.168.1.47;75;75;RGB;1
11900;12069;192.168.1.47;76;76;RGB;1
12070;12158;192.168.1.47;77;77;RGB;1
12200;12369;192.168.1.47;78;78;RGB;1
12370;12458;192.168.1.47;79;79;RGB;1
12500;12669;192.168.1.47;80;80;RGB;1
12670;12758;192.168.1.47;81;81;RGB;1
12800;12969;192.168.1.47;82;82;RGB;1
12970;13058;192.168.1.47;83;83;RGB;1
13100;13269;192.168.1.47;84;84;RGB;1
13270;13358;192.168.1.47;85;85;RGB;1
13400;13569;192.168.1.47;86;86;RGB;1
13570;13658;192.168.1.47;87;87;RGB;1
13700;13869;192.168.1.47;88;88;RGB;1
13870;13958;192.168.1.47;89;89;RGB;1
14000;14169;192.168.1.47;90;90;RGB;1
14170;14258;192.168.1.47;91;91;RGB;1
14300;14469;192.168.1.47;92;92;RGB;1
14470;14558;192.168.1.47;93;93;RGB;1
14600;14769;192.168.1.47;94;94;RGB;1
14770;14858;192.168.1.47;95;95;RGB;1
15100;15269;192.168.1.48;96;96;RGB;1
15270;15358;192.168.1.48;97;97;RGB;1
15400;15569;192.168.1.48;98;98;RGB;1
15570;15658;192.168.1.48;99;99;RGB;1
15700;15869;192.168.1.48;100;100;RGB;1
15870;15958;192.168.1.48;101;101;RGB;1
16000;16169;192.168.1.48;102;102;RGB;1
16170;16258;192.168.1.48;103;103;RGB;1
16300;16469;192.168.1.48;104;104;RGB;1
16470;16558;192.168.1.48;105;105;RGB;1
16600;16769;192.168.1.48;106;106;RGB;1
16770;16858;192.168.1.48;107;107;RGB;1
16900;17069;192.168.1.48;108;108;RGB;1
17070;17158;192.168.1.48;109;109;RGB;1
17200;17369;192.168.1.48;110;110;RGB;1
17370;17458;192.168.1.48;111;111;RGB;1
17500;17669;192.168.1.48;112;112;RGB;1
17670;17758;192.168.1.48;113;113;RGB;1
17800;17969;192.168.1.48;114;114;RGB;1
17970;18058;192.168.1.48;115;115;RGB;1
18100;18269;192.168.1.48;116;116;RGB;1
18270;18358;192.168.1.48;117;117;RGB;1
18400;18569;192.168.1.48;118;118;RGB;1
18570;18658;192.168.1.48;119;119;RGB;1
18700;18869;192.168.1.48;120;120;RGB;1
18870;18958;192.168.1.48;121;121;RGB;1
19000;19169;192.168.1.48;122;122;RGB;1
19170;19258;192.168.1.48;123;123;RGB;1
19300;19469;192.168.1.48;124;124;RGB;1
19470;19558;192.168.1.48;125;125;RGB;1
19600;19769;192.168.1.48;126;126;RGB;1
19770;19858;192.168.1.48;127;127;RGB;1
1;1;192.168.1.45;200;200;RGB;1
