EntityStart;EntityEnd;ArtNetIP;UniverseStart;UniverseEnd;ChannelMode;DMXStartChannel
100;269;192.168.1.45;0;0;RGB;1
270;439;192.168.1.45;1;1;RGB;1
440;609;192.168.1.45;2;2;RGB;1
610;779;192.168.1.45;3;3;RGB;1
780;949;192.168.1.45;4;4;RGB;1
950;1119;192.168.1.45;5;5;RGB;1
1120;1289;192.168.1.45;6;6;RGB;1
1290;1459;192.168.1.45;7;7;RGB;1
1460;1629;192.168.1.45;8;8;RGB;1
1630;1799;192.168.1.45;9;9;RGB;1
1800;1969;192.168.1.45;10;10;RGB;1
1970;2139;192.168.1.45;11;11;RGB;1
2140;2309;192.168.1.45;12;12;RGB;1
2310;2479;192.168.1.45;13;13;RGB;1
2480;2649;192.168.1.45;14;14;RGB;1
2650;2819;192.168.1.45;15;15;RGB;1
2820;2989;192.168.1.45;16;16;RGB;1
2990;3159;192.168.1.45;17;17;RGB;1
3160;3329;192.168.1.45;18;18;RGB;1
3330;3499;192.168.1.45;19;19;RGB;1
3500;3669;192.168.1.45;20;20;RGB;1
3670;3839;192.168.1.45;21;21;RGB;1
3840;4009;192.168.1.45;22;22;RGB;1
4010;4179;192.168.1.45;23;23;RGB;1
4180;4349;192.168.1.45;24;24;RGB;1
4350;4519;192.168.1.45;25;25;RGB;1
4520;4689;192.168.1.45;26;26;RGB;1
4690;4859;192.168.1.45;27;27;RGB;1
4860;5029;192.168.1.45;28;28;RGB;1
5030;5199;192.168.1.45;29;29;RGB;1
5200;5369;192.168.1.45;30;30;RGB;1
5370;5539;192.168.1.45;31;31;RGB;1
5540;5709;192.168.1.46;32;32;RGB;1
5710;5879;192.168.1.46;33;33;RGB;1
5880;6049;192.168.1.46;34;34;RGB;1
6050;6219;192.168.1.46;35;35;RGB;1
6220;6389;192.168.1.46;36;36;RGB;1
6390;6559;192.168.1.46;37;37;RGB;1
6560;6729;192.168.1.46;38;38;RGB;1
6730;6899;192.168.1.46;39;39;RGB;1
6900;7069;192.168.1.46;40;40;RGB;1
7070;7239;192.168.1.46;41;41;RGB;1
7240;7409;192.168.1.46;42;42;RGB;1
7410;7579;192.168.1.46;43;43;RGB;1
7580;7749;192.168.1.46;44;44;RGB;1
7750;7919;192.168.1.46;45;45;RGB;1
7920;8089;192.168.1.46;46;46;RGB;1
8090;8259;192.168.1.46;47;47;RGB;1
8260;8429;192.168.1.46;48;48;RGB;1
8430;8599;192.168.1.46;49;49;RGB;1
8600;8769;192.168.1.46;50;50;RGB;1
8770;8939;192.168.1.46;51;51;RGB;1
8940;9109;192.168.1.46;52;52;RGB;1
9110;9279;192.168.1.46;53;53;RGB;1
9280;9449;192.168.1.46;54;54;RGB;1
9450;9619;192.168.1.46;55;55;RGB;1
9620;9789;192.168.1.46;56;56;RGB;1
9790;9959;192.168.1.46;57;57;RGB;1
9960;10129;192.168.1.46;58;58;RGB;1
10130;10299;192.168.1.46;59;59;RGB;1
10300;10469;192.168.1.46;60;60;RGB;1
10470;10639;192.168.1.46;61;61;RGB;1
10640;10809;192.168.1.46;62;62;RGB;1
10810;10979;192.168.1.46;63;63;RGB;1
10980;11149;192.168.1.47;64;64;RGB;1
11150;11319;192.168.1.47;65;65;RGB;1
11320;11489;192.168.1.47;66;66;RGB;1
11490;11659;192.168.1.47;67;67;RGB;1
11660;11829;192.168.1.47;68;68;RGB;1
11830;11999;192.168.1.47;69;69;RGB;1
12000;12169;192.168.1.47;70;70;RGB;1
12170;12339;192.168.1.47;71;71;RGB;1
12340;12509;192.168.1.47;72;72;RGB;1
12510;12679;192.168.1.47;73;73;RGB;1
12680;12849;192.168.1.47;74;74;RGB;1
12850;13019;192.168.1.47;75;75;RGB;1
13020;13189;192.168.1.47;76;76;RGB;1
13190;13359;192.168.1.47;77;77;RGB;1
13360;13529;192.168.1.47;78;78;RGB;1
13530;13699;192.168.1.47;79;79;RGB;1
13700;13869;192.168.1.47;80;80;RGB;1
13870;14039;192.168.1.47;81;81;RGB;1
14040;14209;192.168.1.47;82;82;RGB;1
14210;14379;192.168.1.47;83;83;RGB;1
14380;14549;192.168.1.47;84;84;RGB;1
14550;14719;192.168.1.47;85;85;RGB;1
14720;14889;192.168.1.47;86;86;RGB;1
14890;15059;192.168.1.47;87;87;RGB;1
15060;15229;192.168.1.47;88;88;RGB;1
15230;15399;192.168.1.47;89;89;RGB;1
15400;15569;192.168.1.47;90;90;RGB;1
15570;15739;192.168.1.47;91;91;RGB;1
15740;15909;192.168.1.47;92;92;RGB;1
15910;16079;192.168.1.47;93;93;RGB;1
16080;16249;192.168.1.47;94;94;RGB;1
16250;16419;192.168.1.47;95;95;RGB;1
16420;16589;192.168.1.48;96;96;RGB;1
16590;16759;192.168.1.48;97;97;RGB;1
16760;16929;192.168.1.48;98;98;RGB;1
16930;17099;192.168.1.48;99;99;RGB;1
17100;17269;192.168.1.48;100;100;RGB;1
17270;17439;192.168.1.48;101;101;RGB;1
17440;17609;192.168.1.48;102;102;RGB;1
17610;17779;192.168.1.48;103;103;RGB;1
17780;17949;192.168.1.48;104;104;RGB;1
17950;18119;192.168.1.48;105;105;RGB;1
18120;18289;192.168.1.48;106;106;RGB;1
18290;18459;192.168.1.48;107;107;RGB;1
18460;18629;192.168.1.48;108;108;RGB;1
18630;18799;192.168.1.48;109;109;RGB;1
18800;18969;192.168.1.48;110;110;RGB;1
18970;19139;192.168.1.48;111;111;RGB;1
19140;19309;192.168.1.48;112;112;RGB;1
19310;19479;192.168.1.48;113;113;RGB;1
19480;19649;192.168.1.48;114;114;RGB;1
19650;19819;192.168.1.48;115;115;RGB;1
19820;19989;192.168.1.48;116;116;RGB;1
19990;20159;192.168.1.48;117;117;RGB;1
20160;20329;192.168.1.48;118;118;RGB;1
20330;20499;192.168.1.48;119;119;RGB;1
20500;20669;192.168.1.48;120;120;RGB;1
20670;20839;192.168.1.48;121;121;RGB;1
20840;21009;192.168.1.48;122;122;RGB;1
21010;21179;192.168.1.48;123;123;RGB;1
21180;21349;192.168.1.48;124;124;RGB;1
21350;21519;192.168.1.48;125;125;RGB;1
21520;21689;192.168.1.48;126;126;RGB;1
21690;21859;192.168.1.48;127;127;RGB;1
1;1;192.168.1.45;200;200;RGB;1
